"","nestID","beeID","behav","timepoint","Caste","totCount"
"464","NF01","13","egglaying","early","worker",1
"465","NF02","30","egglaying","early","worker",2
"466","NF03","90","egglaying","early","worker",1
"467","NF04","40","egglaying","early","worker",1
"468","NF05","83","egglaying","early","worker",1
"469","NF05","46","egglaying","early","worker",1
"470","NF06","95","egglaying","early","worker",2
"471","NF06","61","egglaying","early","worker",1
"472","NF07","4","egglaying","early","worker",2
"473","NF07","70","egglaying","early","worker",1
"474","NF10","72","egglaying","early","worker",5
"475","NF10","63","egglaying","early","worker",1
"476","NT02","92","egglaying","early","worker",2
"477","NT02","5","egglaying","early","worker",1
"478","NT03","34","egglaying","early","worker",1
"479","NT04","25","egglaying","early","worker",1
"480","NT05","44","egglaying","early","worker",1
"481","NT06","13","egglaying","early","worker",1
"482","NT10","18","egglaying","early","worker",3
"483","NT11","71","egglaying","early","worker",3
"484","NT12","4","egglaying","early","worker",2
"485","NT13","56","egglaying","early","worker",2
"486","NT14","38","egglaying","early","worker",2
"487","NT14","16","egglaying","early","worker",1
"488","NT15","38","egglaying","early","worker",2
"489","NT16","28","egglaying","early","worker",1
"490","QF02","12","egglaying","early","queen",4
"491","QF03","unmarked","egglaying","early","queen",4
"492","QF04","unmarked","egglaying","early","queen",2
"493","QF06","66","egglaying","early","queen",3
"494","QF07","23","egglaying","early","worker",2
"495","QF07","60","egglaying","early","worker",3
"496","QF07","72","egglaying","early","worker",1
"497","QF07","18","egglaying","early","worker",1
"498","QF09","90","egglaying","early","queen",3
"499","QF10","9","egglaying","early","queen",2
"500","QF11","42","egglaying","early","worker",3
"501","QF11","98","egglaying","early","queen",2
"502","QF12","35","egglaying","early","queen",1
"503","QF14","unmarked","egglaying","early","queen",1
"504","QF15","90","egglaying","early","queen",2
"505","QF16","62","egglaying","early","queen",2
"506","QT01","99","egglaying","early","queen",2
"507","QT02","85","egglaying","early","queen",2
"508","QT03","unmarked queen","egglaying","early","queen",2
"509","QT04","62","egglaying","early","queen",2
"510","QT08","78","egglaying","early","queen",2
"511","QT11","80","egglaying","early","queen",1
"512","QT12","19","egglaying","early","queen",1
"513","QT12","19","egglaying","early","worker",1
"514","QT13","3","egglaying","early","worker",6
"515","QT13","47","egglaying","early","queen",1
"516","QT13","45","egglaying","early","queen",1
"517","QT13","47","egglaying","early","worker",1
"518","QT13","99","egglaying","early","worker",2
"519","QT14","5","egglaying","early","worker",1
"520","QT14","17","egglaying","early","worker",2
"521","QT14","97","egglaying","early","queen",1
"522","QT15","57","egglaying","early","worker",4
"523","QT15","57","egglaying","early","queen",1
"524","NF01","13","egglaying","late","worker",1
"525","NF02","30","egglaying","late","worker",1
"526","NF03","14","egglaying","late","worker",1
"527","NF03","18","egglaying","late","worker",1
"528","NF04","92","egglaying","late","worker",2
"529","NF05","46","egglaying","late","worker",1
"530","NF10","72","egglaying","late","worker",2
