"","X","nestID","nestTYPE","beeID","caste","natal","beeType","addDate","diedDate","nectarforaging","feedsbrood","pollenforaging","egglaying","nBehavs","size","ovL1","ovL2","ovLavg","ovR1","ovR2","ovRavg","ovS1","ovS2","ovSavg","queen","nWork","nBees","lazy","allforaging","shannon","specBehav","specProp","BehavAssign","perfSpec","NF","PF","FB","EL"
"81",95,"QF07","QF","QF0772","W","VB01","orig",NA,NA,4,57,4,13,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenright",5,6,"notLazy",3,0.832495765118714,"generalist",0.730769230769231,"feedsbrood",NA,"yes","yes","yes","yes"
"82",96,"QF07","QF","QF0736","W","VB01","orig",NA,NA,87,0,104,0,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"queenright",5,6,"notLazy",67,0.68918096818458,"generalist",0.544502617801047,"pollenforaging",NA,"yes","yes","no","no"
"83",100,"QF10","QF","QF1071","W","AS3","orig",NA,NA,13,0,0,0,13,2.9,NA,4,4,1,0,0.5,4,3.5,3.75,"queenright",5,6,"notLazy",13,0,"nectarforaging",1,"nectarforaging",3,"yes","no","no","no"
"84",101,"QF11","QF","QF1165","W","R33","orig",NA,NA,44,14,64,0,122,2.7,NA,NA,0,0,0,0,1,1,1,"queenright",5,6,"notLazy",36,0.954679537831321,"generalist",0.524590163934426,"pollenforaging",NA,"yes","yes","yes","no"
"85",102,"QF11","QF","QF119","W","R33","orig",NA,NA,5,4,5,0,14,2.4,NA,NA,0,0,0,0,1,2,1.5,"queenright",5,6,"notLazy",4,1.09337471755665,"generalist",0.357142857142857,"nectarforaging",NA,"yes","yes","yes","no"
"86",103,"QF11","QF","QF1152","W","R33","orig",NA,NA,14,29,11,0,54,2.3,NA,NA,0,0,0,0,2,1,1.5,"queenright",5,6,"notLazy",10,1.00796127461977,"generalist",0.537037037037037,"feedsbrood",NA,"yes","yes","yes","no"
"87",104,"QF11","QF","QF1117","W","R33","orig",NA,NA,30,29,11,0,70,2.5,1.8,1.8,1.8,1,1,1,4,4,4,"queenright",5,6,"notLazy",19,1.01900454890287,"generalist",0.428571428571429,"nectarforaging",NA,"yes","yes","yes","no"
"88",105,"QF11","QF","QF1142","W","R33","orig",NA,NA,0,14,0,47,61,2.4,6,5.1,5.55,1,1,1,4,4,4,"queenright",5,6,"notLazy",0,0.538681406878453,"egglaying",0.770491803278688,"egglaying",NA,"no","no","yes","yes"
"89",106,"QF12","QF","QF1244","W","R34","orig",NA,NA,35,0,71,0,106,3.1,3.8,4.6,4.2,0,1,0.5,3.5,4,3.75,"queenright",5,6,"notLazy",51,0.634312175036002,"generalist",0.669811320754717,"pollenforaging",NA,"yes","yes","no","no"
"90",107,"QF12","QF","QF1218","W","R34","orig",NA,NA,74,0,47,0,121,3,NA,4.8,4.8,1,1,1,4,4,4,"queenright",5,6,"notLazy",55,0.668040511072102,"generalist",0.611570247933884,"nectarforaging",NA,"yes","yes","no","no"
"91",108,"QF12","QF","QF1210","W","R34","orig",NA,NA,2,101,3,0,106,2.7,3.3,NA,3.3,1,1,1,4,4,4,"queenright",5,6,"notLazy",3,0.221841891960261,"feedsbrood",0.952830188679245,"feedsbrood",NA,"yes","yes","yes","no"
"92",109,"QF12","QF","QF1235","Q","R31","orig",NA,NA,0,25,0,127,152,4,NA,NA,NA,0,0,0,4,4,4,"queenright",5,6,"notLazy",0,0.447014365570315,"egglaying",0.835526315789474,"egglaying",NA,"no","no","yes","yes"
"93",110,"QF12","QF","QF1272","W","R34","orig",NA,NA,11,0,3,0,14,2.8,4.3,3.2,3.75,1,0,0.5,4,3,3.5,"queenright",5,6,"notLazy",7,0.519579839130515,"nectarforaging",0.785714285714286,"nectarforaging",NA,"yes","yes","no","no"
