"","X","nestID","nestTYPE","beeID","caste","timepoint","feedsbrood","nectarforaging","pollenforaging","egglaying","nBehavs","allforaging"
"224",289,"QF02","QF","12","queen","late",0,0,0,2,2,0
"225",290,"QF03","QF","unmarked","queen","late",0,0,0,2,2,0
"226",291,"QF04","QF","unmarked","queen","late",0,0,0,1,1,0
"227",292,"QF07","QF","57","queen","late",0,0,0,2,2,0
"228",295,"QF11","QF","98","queen","late",0,0,0,1,1,0
"229",296,"QF12","QF","35","queen","late",0,0,0,4,4,0
"230",297,"QF14","QF","unmarked","queen","late",0,0,0,2,2,0
"231",298,"QF15","QF","90","queen","late",0,0,0,1,1,0
"232",299,"QF16","QF","62","queen","late",0,0,0,1,1,0
"233",300,"QT01","QT","99","queen","late",0,0,0,1,1,0
"234",301,"QT03","QT","unmarked queen","queen","late",0,0,0,2,2,0
"235",304,"QT11","QT","95","queen","late",0,0,0,3,3,0
"236",305,"QT12","QT","93","queen","late",0,0,0,3,3,0
